"Session","0","1","2","3","4"
"General Discomfort","0","0","0","1","0"
"Fatigue","0","0","0","0","0"
"Headache","0","0","0","0","0"
"Eye Strain","1","0","0","0","0"
"Difficulty Focusing","1","1","1","1","1"
"Salivation Increasing","0","0","0","0","0"
"Sweating","0","0","0","0","0"
"Nausea","0","0","0","0","0"
"Difficulty Concentrating","0","0","0","0","0"
"Fullness of Head","0","0","0","1","0"
"Blurred Vision","1","1","1","1","1"
"Dizziness with Eye Open","0","0","0","1","0"
"Dizziness with Eye Closed","0","0","0","1","0"
"Vertigo","0","0","0","0","0"
"Stomach Awareness","0","0","0","0","0"
"Burping","0","0","0","0","0"
"Total [1]","0","0","0","1","0"
"Total [2]","3","2","2","3","2"
"Total [3]","2","2","2","5","2"
"N","0","0","0","9.54","0"
"O","22.74","15.16","15.16","22.74","15.16"
"D","27.84","27.84","27.84","69.6","27.84"
"TS","18.7","14.96","14.96","33.66","14.96"
