"Session","0","1","2","3","4"
"General Discomfort","0","0","0","0","0"
"Fatigue","0","0","0","0","1"
"Headache","0","0","1","1","0"
"Eye Strain","0","1","1","1","1"
"Difficulty Focusing","1","1","1","1","1"
"Salivation Increasing","0","0","0","0","0"
"Sweating","0","0","0","0","0"
"Nausea","0","0","0","0","0"
"Difficulty Concentrating","0","0","0","0","0"
"Fullness of Head","0","0","0","0","0"
"Blurred Vision","0","0","0","0","0"
"Dizziness with Eye Open","0","0","0","0","0"
"Dizziness with Eye Closed","0","0","0","0","0"
"Vertigo","0","0","0","0","0"
"Stomach Awareness","0","0","0","0","0"
"Burping","0","0","0","0","0"
"Total [1]","0","0","0","0","0"
"Total [2]","1","2","3","3","3"
"Total [3]","1","1","1","1","1"
"N","0","0","0","0","0"
"O","7.58","15.16","22.74","22.74","22.74"
"D","13.92","13.92","13.92","13.92","13.92"
"TS","7.48","11.22","14.96","14.96","14.96"
