"Session","0","1","2","3","4"
"General Discomfort","0","0","0","0","0"
"Fatigue","2","2","2","2","0"
"Headache","0","0","0","0","2"
"Eye Strain","1","1","1","1","1"
"Difficulty Focusing","1","0","0","1","0"
"Salivation Increasing","0","0","0","0","0"
"Sweating","0","0","0","0","0"
"Nausea","0","0","0","0","0"
"Difficulty Concentrating","1","1","1","1","1"
"Fullness of Head","0","0","0","1","1"
"Blurred Vision","0","0","0","0","0"
"Dizziness with Eye Open","0","0","0","0","0"
"Dizziness with Eye Closed","0","0","0","0","0"
"Vertigo","0","0","0","0","0"
"Stomach Awareness","0","0","0","0","0"
"Burping","0","0","0","0","0"
"Total [1]","1","1","1","1","1"
"Total [2]","5","4","4","5","4"
"Total [3]","1","0","0","2","1"
"N","9.54","9.54","9.54","9.54","9.54"
"O","37.9","30.32","30.32","37.9","30.32"
"D","13.92","0","0","27.84","13.92"
"TS","26.18","18.7","18.7","29.92","22.44"
