"Session","0","1","2","3","4"
"General Discomfort","0","0","0","0","0"
"Fatigue","0","0","0","0","0"
"Headache","0","0","0","1","1"
"Eye Strain","0","1","1","2","1"
"Difficulty Focusing","0","1","1","1","1"
"Salivation Increasing","0","0","0","0","0"
"Sweating","1","0","0","0","0"
"Nausea","0","0","0","0","0"
"Difficulty Concentrating","0","0","1","0","0"
"Fullness of Head","0","1","1","1","1"
"Blurred Vision","1","2","1","1","1"
"Dizziness with Eye Open","0","0","0","0","0"
"Dizziness with Eye Closed","0","0","0","0","0"
"Vertigo","0","0","0","0","0"
"Stomach Awareness","0","0","0","0","0"
"Burping","0","0","0","0","0"
"Total [1]","1","0","1","0","0"
"Total [2]","1","4","4","5","4"
"Total [3]","1","4","3","3","3"
"N","9.54","0","9.54","0","0"
"O","7.58","30.32","30.32","37.9","30.32"
"D","13.92","55.68","41.76","41.76","41.76"
"TS","11.22","29.92","29.92","29.92","26.18"
